"County Code","County Name","District Code","District Name","Total Enrollment","White","Black","Hispanic","Asian","Native American","Hawaiian Native","Two Or More Races","%Free Lunch","%Reduced Lunch","Pre-K","Kindergarten","First Grade","Second Grade","Third Grade","Fourth Grade","Fifth Grade","Sixth Grade","Seventh Grade","Eighth Grade","Ninth Grade","Tenth Grade","Eleventh Grade","Twelfth Grade"
"03","Bergen","4600","Rutherford Boro",-3.1,-3.8,-11.5,-1.3,-4.1,0,-50,3.9,-0.5,-0.1,-3.6,-22,26.9,-6.6,-8.7,6.5,0,-7.7,-11.3,0.5,-5.5,3.4,-2.6,-6.3
"03","Bergen","4610","Saddle Brook Twp",-5.8,-5.2,-21.8,-4.5,-9.6,0,-28.6,16.7,0.9,-0.8,-75,10.9,-18,-0.8,0.8,2.6,-4,-7.1,-15.5,3.5,-6.4,3.2,-20.4,5.5
"03","Bergen","4620","Saddle River Boro",-13.4,-16.7,25,0,-9.1,NA,NA,-7.7,-0.7,0.1,-50,15.4,-35,-19.2,37.5,-53.1,50,NA,NA,NA,NA,NA,NA,NA
"03","Bergen","4845","South Bergen Jointure Com",-3.4,-11.8,0,9.2,-23.5,NA,0,20,1.6,-1,-32.4,-11.1,50,-75,200,-66.7,0,-25,66.7,-33.3,33.3,NA,NA,-62.5
"03","Bergen","4870","South Hackensack Twp",-4.5,-1.4,-15,-4.4,-12.5,0,NA,0,-8,-4.3,-11.8,-18.8,42.9,-28.6,-16.1,-3,6.9,-25,16.1,12.5,NA,NA,NA,NA
"03","Bergen","5150","Teaneck Twp",-0.1,-2.6,-3.1,3.3,1.5,-10,12.5,-10,-5.2,1.3,0,-14.8,1.6,-1.9,8.3,-1.3,-1.3,5,-5.3,0.7,-3.9,-0.7,-0.8,9
"03","Bergen","5160","Tenafly Boro",-4,-5.9,1.9,7.1,-4,0,0,-2.5,0,0,-100,-3.8,-22.6,-9.8,-2.9,-2.5,-5.9,1.8,-8,1,-6.5,-2.9,3.2,1
"03","Bergen","5330","Upper Saddle River Boro",0,-1.2,30.8,-5.3,7.6,-33.3,0,-7.7,-0.4,0,-32,9.7,-1,-25,29,-0.9,-21.9,2.1,-1.4,19.2,NA,NA,NA,NA
"03","Bergen","5410","Waldwick Boro",-1.3,-3.7,10,5.7,-6.1,NA,0,22,0,0.1,-5,3.6,-15.7,7.6,-9.5,0.8,-2.4,6.9,-5,-5.7,6.8,-12.6,12.5,6.9
"03","Bergen","5430","Wallington Boro",-2.5,-3.7,0,2.8,-8.7,NA,NA,-42.9,1.6,-1.5,NA,-1.4,-3.8,-1.2,4.9,-9.8,-15.2,15.3,-2.8,-4.7,2.7,-5.2,10.3,-13.3
"03","Bergen","5755","Westwood Regional",-1.1,-1,-15.1,0.3,-5.4,0,0,15.7,1.5,0.7,-26.3,-12.3,3,-13.6,-4.7,12.9,7.1,-6.9,3.3,-3.7,5.4,-11.1,-5.9,9.2
"03","Bergen","5830","Wood-Ridge Boro",-1.8,-5.9,0,6,5.1,0,NA,-21.7,-2.3,-1.1,-46.4,5.6,32.4,-18.2,-6.3,28,-6.4,-4.7,-4.6,7.8,-35.3,7.3,4.3,2.2
"03","Bergen","5880","Woodcliff Lake Boro",-2.1,-2.5,-33.3,15.8,-13,NA,0,500,0.1,0,-38.9,14.8,0,-10.7,18.5,-31.3,24,-2.7,-10.5,3.5,NA,NA,NA,NA
